Pic,Energie (keV),Sigma (keV),FWHM (keV),Amplitude,Intensite Relative
1,3.0798355410617515,0.07012308824424145,0.16512725381701387,89.22370858491699,0.23418296216513645
2,5.531872592322554,0.08086493492156889,0.19042236969343365,76.54357446293942,0.2009017702439355
3,7.596093450958102,0.07849965804144586,0.18485256828407168,370.1331560320398,0.9714780998216267
4,8.170291014084057,0.4926720399292103,1.1601539952515927,89.43498712595427,0.23473749901825267
